cityName,population,coords,countryName,continent,officialLanguage
Jinhua,5361572,Point(119.64937 29.10462),People's Republic of China,Asia,Putonghua
Langfang,5464087,Point(116.70056 39.51962),People's Republic of China,Asia,Putonghua
Liupanshui,2950500,Point(104.833333 26.594444),People's Republic of China,Asia,Putonghua
Leshan,3160168,Point(103.75755 29.5854),People's Republic of China,Asia,Putonghua
Anshun,2353100,Point(105.93401 26.24562),People's Republic of China,Asia,Putonghua
Anshun,2470630,Point(105.93401 26.24562),People's Republic of China,Asia,Putonghua
Tongren,3168800,Point(109.18851 27.72334),People's Republic of China,Asia,Putonghua
Liaoyang,1858768,Point(123.1772 41.26432),People's Republic of China,Asia,Putonghua
Changzhi,3334565,Point(113.09695 36.19529),People's Republic of China,Asia,Putonghua
Mianyang,4613862,Point(104.73847 31.46688),People's Republic of China,Asia,Putonghua
Benxi,1326018,Point(123.76097 41.29204),People's Republic of China,Asia,Putonghua
Hengshui,4472000,Point(115.68599 37.73484),People's Republic of China,Asia,Putonghua
Nanchong,5607565,Point(106.07843 30.79913),People's Republic of China,Asia,Putonghua
Ya'an,1434603,Point(103.00074 29.9888),People's Republic of China,Asia,Putonghua
Yangzhou,4459760,Point(119.43625 32.39117),People's Republic of China,Asia,Putonghua
Neijiang,3702847,Point(105.0635 29.58716),People's Republic of China,Asia,Putonghua
Heyuan,3093900,Point(114.69229 23.75033),People's Republic of China,Asia,Putonghua
Nantong,7726635,Point(120.8873 31.98288),People's Republic of China,Asia,Putonghua
Jinhua,7050683,Point(119.64937 29.10462),People's Republic of China,Asia,Putonghua
Xuzhou,9083790,Point(117.18587 34.26104),People's Republic of China,Asia,Putonghua
Yunfu,2383350,Point(112.03526 22.92423),People's Republic of China,Asia,Putonghua
Huizhou,6042852,Point(114.41523 23.11147),People's Republic of China,Asia,Putonghua
Yangjiang,2602959,Point(111.96272 21.85563),People's Republic of China,Asia,Putonghua
Changzhi,3334565,Point(112.88436 36.45564),People's Republic of China,Asia,Putonghua
Heyuan,2837686,Point(114.69229 23.75033),People's Republic of China,Asia,Putonghua
Liupanshui,3031602,Point(104.833333 26.594444),People's Republic of China,Asia,Putonghua
Zhaoqing,4113594,Point(112.466666666 23.05),People's Republic of China,Asia,Putonghua
Yibin,4887242,Point(104.63997 28.75961),People's Republic of China,Asia,Putonghua
Huizhou,4830000,Point(114.41523 23.11147),People's Republic of China,Asia,Putonghua
Shangqiu,7816831,Point(115.64673 34.42592),People's Republic of China,Asia,Putonghua
Changzhou,5278121,Point(119.969166666 31.812166666),People's Republic of China,Asia,Putonghua
Guangyuan,2305657,Point(105.83985 32.43529),People's Republic of China,Asia,Putonghua
Panzhihua,1214121,Point(101.71487 26.58487),People's Republic of China,Asia,Putonghua
Ya'an,1507258,Point(103.00074 29.9888),People's Republic of China,Asia,Putonghua
Taizhou,4512762,Point(119.9 32.483056),People's Republic of China,Asia,Putonghua
Jinzhong,3249425,Point(112.74164 37.69332),People's Republic of China,Asia,Putonghua
Yangquan,1318505,Point(113.57623 37.8576),People's Republic of China,Asia,Putonghua
Huludao,2434194,Point(120.837777777 40.709444444),People's Republic of China,Asia,Putonghua
Heihe,1673899,Point(127.488611 50.245833),People's Republic of China,Asia,Putonghua
Zhoushan,1157817,Point(122.20488 29.98869),People's Republic of China,Asia,Putonghua
Guang'an,3205476,Point(106.63358 30.46729),People's Republic of China,Asia,Putonghua
Jinzhong,3379498,Point(112.74164 37.69332),People's Republic of China,Asia,Putonghua
Quanzhou,8782285,Point(118.58583 24.91389),People's Republic of China,Asia,Putonghua
Benxi,1709538,Point(123.76097 41.29204),People's Republic of China,Asia,Putonghua
Guang'an,4124100,Point(106.63358 30.46729),People's Republic of China,Asia,Putonghua
Heihe,1286401,Point(127.488611 50.245833),People's Republic of China,Asia,Putonghua
Suining,2814196,Point(105.57373 30.50984),People's Republic of China,Asia,Putonghua
Liaoyang,1604580,Point(123.1772 41.26432),People's Republic of China,Asia,Putonghua
Anshan,3325372,Point(122.98945 41.10662),People's Republic of China,Asia,Putonghua
Yancheng,6709629,Point(120.156944444 33.35),People's Republic of China,Asia,Putonghua
Tongren,3298468,Point(109.18851 27.72334),People's Republic of China,Asia,Putonghua
Datong,3105591,Point(113.291388888 40.093611111),People's Republic of China,Asia,Putonghua
Liaoyuan,1176239,Point(125.13805 42.89757),People's Republic of China,Asia,Putonghua
Xianning,2658316,Point(114.32882 29.83411),People's Republic of China,Asia,Putonghua
Panzhihua,1212203,Point(101.71487 26.58487),People's Republic of China,Asia,Putonghua
Taizhou,6622888,Point(121.42213 28.6583),People's Republic of China,Asia,Putonghua
Hengshui,4212933,Point(115.68599 37.73484),People's Republic of China,Asia,Putonghua
Huludao,2623541,Point(120.837777777 40.709444444),People's Republic of China,Asia,Putonghua
Changzhi,3180884,Point(113.09695 36.19529),People's Republic of China,Asia,Putonghua
Huaihua,4587594,Point(109.959167 27.549444),People's Republic of China,Asia,Putonghua
Yibin,4471896,Point(104.63997 28.75961),People's Republic of China,Asia,Putonghua
Tianjin,13866009,Point(117.205555555 39.146666666),People's Republic of China,Asia,Putonghua
Langfang,4358839,Point(116.70056 39.51962),People's Republic of China,Asia,Putonghua
Mianyang,4868243,Point(104.73847 31.46688),People's Republic of China,Asia,Putonghua
Deyang,3877000,Point(104.39499 31.12892),People's Republic of China,Asia,Putonghua
Deyang,3456161,Point(104.39499 31.12892),People's Republic of China,Asia,Putonghua
